,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1553,Gdańsk,Motława Riverside Apartments,1,1,227.0,9.5,9.2,9.5,9.3,9.3,9.4,10.0,9.4
1554,Gdańsk,Akme APARTMENTS&ROOMS,1,1,190.0,9.4,8.7,9.2,8.9,8.8,8.2,8.7,8.9
1555,Gdańsk,Noclegi i Parking u Andrzeja,1,1,253.0,9.1,8.7,9.1,8.8,8.8,9.6,8.6,8.7
1556,Gdańsk,Hotel Arkon Park Business & Sport,1,1,251.0,9.2,8.9,9.2,9.1,8.7,8.5,8.9,8.8
1557,Gdańsk,ARCHE Dwór Uphagena Gdańsk,1,1,186.0,9.2,9.1,9.4,9.4,9.1,8.8,9.1,9.1
1558,Gdańsk,Nice Rooms - Pokoje Gościnne,1,1,121.0,8.7,7.8,8.3,7.8,8.1,8.2,8.5,7.8
1559,Gdańsk,Zefiro Seredyńskiego,1,1,177.0,8.8,8.3,9.1,8.7,8.6,9.1,8.7,8.5
1560,Gdańsk,Gdańska Szkoła Szermierki,1,1,142.0,9.7,8.7,9.2,8.8,9.2,8.6,8.5,9.0
1561,Gdańsk,YOURAPART Rajska City Centre,1,1,191.0,8.7,8.5,8.4,8.5,8.4,9.6,8.5,8.4
1562,Gdańsk,Gdańsk Central Business Apartments with Parking by Rentujemy,2,1,446.0,10.0,10.0,7.5,7.5,7.5,7.5,,8.0
1563,Gdańsk,Perfect Apartment Oldtown Gdansk,2,1,1598.0,9.2,8.7,8.7,8.9,8.9,9.4,10.0,8.9
1564,Gdańsk,ApartMate Spacious Apartment with balcony OldTown for 6 people,2,1,618.0,8.7,8.2,7.9,8.2,8.5,9.3,9.2,8.4
1565,Gdańsk,Riviera Gdańsk Brzeźno,2,1,205.0,8.5,7.6,8.1,8.0,7.5,9.2,10.0,7.7
1566,Gdańsk,Apartament przy marinie Gdańsk starówka,2,1,988.0,8.4,8.0,7.7,8.1,8.3,9.7,9.2,8.1
1567,Gdańsk,Central Apartments Silver L1F/21,2,1,325.0,7.3,6.7,6.3,6.9,6.7,7.7,,6.5
